stimulus_id,n_constraints,delta_logit,l10h7_activation,l10h7_zscore
12,5,2.5868883046918247,-0.02772923931479454,-0.11974336448622282
12,6,2.5856983649969374,-0.03127612546086311,-0.13858276063727
12,7,2.4169467205432635,-0.03382250666618347,-0.15210794365781452
13,1,11.13270126048031,-0.0246456079185009,-0.05943136906570986
13,2,9.881301774147722,-0.027333294972777367,-0.0732168230082195
13,3,8.065075411653384,-0.02604113705456257,-0.06658919742969226
13,4,7.370105799746902,-0.026611503213644028,-0.06951467061819942
13,5,7.550557775478849,-0.02739516645669937,-0.07353416891744818
13,6,7.617113390917792,-0.030664240941405296,-0.09030162540827791
13,7,7.473683451592362,-0.03346885368227959,-0.10468680455492764
14,1,0.8151326310963934,-0.0141805000603199,0.000717753589103519
14,2,2.0792927575555313,-0.017610784620046616,-0.016956479277778724
14,3,1.6231611338772054,-0.022299060598015785,-0.04111239985407011
14,4,1.3961643027404547,-0.027368541806936264,-0.06723244611865245
14,5,1.4275742100965978,-0.028527341783046722,-0.07320305883818307
14,6,1.280847116342723,-0.02827606350183487,-0.07190837008009297
14,7,1.2236914030669317,-0.02909187600016594,-0.07611177064939298
15,1,3.6080824678682175,-0.01053734589368105,-0.022232088529722825
15,2,3.462170608280082,-0.013537665829062462,-0.03761615856323416
15,3,2.7753167741814506,-0.01427507121115923,-0.04139718734869357
15,4,2.6368438090314825,-0.015538271516561508,-0.0478742172599024
15,5,2.8493062239431746,-0.01732644811272621,-0.0570430507777141
15,6,2.9978005777574785,-0.017825044691562653,-0.05959959303070348
15,7,2.890810591538573,-0.019224995747208595,-0.06677780920344221
16,1,7.554175746403171,-0.009952768683433533,0.0027888005538361594
16,2,7.496439580359493,-0.013343209400773048,-0.014342654275224555
16,3,7.143727428932371,-0.015338766388595104,-0.024425943512771362
16,4,7.404587743551057,-0.019972432404756546,-0.04783925365939861
16,5,7.254797211577534,-0.023586131632328033,-0.06609880462760778
16,6,7.221730162397354,-0.02599092200398445,-0.07824989678937247
16,7,6.988497076858635,-0.026581991463899612,-0.08123649369448506
17,1,7.919261025676856,-0.0074967024847865105,-0.017230440743723666
17,2,9.50382276177953,-0.00972999632358551,-0.02878079381721215
17,3,9.405394506527614,-0.009218963794410229,-0.026137789103069135
17,4,8.952956423472619,-0.010718930512666702,-0.0338954539895048
17,5,8.94037662029704,-0.012214818969368935,-0.04163202655030951
17,6,8.697080254262382,-0.015125167556107044,-0.05668403321407699
17,7,8.713205861401303,-0.0153827965259552,-0.05801646225319777
18,1,2.3609883018766213,-0.0283152274787426,-0.07537593986890799
18,2,2.4306950276659935,-0.023872826248407364,-0.052009791864857116
18,3,2.1515401505759337,-0.025241907685995102,-0.05921088826331543
18,4,1.40292873450283,-0.031048893928527832,-0.08975448236147116
18,5,1.5988802178933792,-0.03518380597233772,-0.11150329832605332
18,6,1.5223064600023046,-0.036534760147333145,-0.11860904892419355
18,7,1.322702927737537,-0.03757932409644127,-0.12410324779751648
19,1,5.133666852839277,-0.0095669561997056,-0.018064278503689888
19,2,5.495775997231399,-0.010331078432500362,-0.02206040257247818
19,3,6.447060692292264,-0.010728132911026478,-0.024136875275615144
19,4,6.398947139865883,-0.014529658481478691,-0.04401768384028169
19,5,6.464045787857668,-0.014606366865336895,-0.04441884507582443
19,6,6.343480684776264,-0.015030501410365105,-0.04663693819110097
19,7,6.175165991804152,-0.016122546046972275,-0.05234799549220322
20,1,13.906334624348752,-0.014967999421060085,0.008471128321860182
20,2,12.520842188068011,-0.026656389236450195,-0.05062691522123823
20,3,11.385957964412931,-0.031976368278265,-0.07752543229906285
20,4,11.02596328756107,-0.03713458403944969,-0.10360605285278582
20,5,10.78466604378969,-0.040727123618125916,-0.12177040772152578
