id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
144,36.0,0.0,-36.0,0.0,thing
145,30.0,0.0,-30.0,0.0,thing
146,30.0,0.0,-30.0,0.0,thing
147,30.0,0.0,-30.0,0.0,thing
148,41.0,0.0,-41.0,0.0,thing
149,36.0,0.0,-36.0,0.0,thing
150,41.0,0.0,-41.0,0.0,thing
151,30.0,0.0,-30.0,0.0,thing
152,38.0,0.0,-38.0,0.0,thing
153,38.0,0.0,-38.0,0.0,thing
154,41.0,0.0,-41.0,0.0,thing
155,30.0,0.0,-30.0,0.0,thing
156,30.0,0.0,-30.0,0.0,thing
157,30.0,0.0,-30.0,0.0,thing
158,30.0,0.0,-30.0,0.0,thing
159,36.0,0.0,-36.0,0.0,thing
160,41.0,0.0,-41.0,0.0,thing
161,41.0,0.0,-41.0,0.0,thing
162,36.0,0.0,-36.0,0.0,thing
163,38.0,0.0,-38.0,0.0,thing
164,41.0,0.0,-41.0,0.0,thing
165,22.125,0.0,-22.125,0.0,thing
166,41.0,0.0,-41.0,0.0,thing
167,41.0,0.0,-41.0,0.0,thing
168,38.0,0.0,-38.0,0.0,thing
169,36.0,0.0,-36.0,0.0,thing
170,38.0,0.0,-38.0,0.0,thing
171,38.0,0.0,-38.0,0.0,thing
172,36.0,0.0,-36.0,0.0,thing
173,22.125,0.0,-22.125,0.0,thing
174,36.0,0.0,-36.0,0.0,thing
175,38.0,0.0,-38.0,0.0,thing
176,36.0,0.0,-36.0,0.0,thing
177,41.0,0.0,-41.0,0.0,thing
178,41.0,0.0,-41.0,0.0,thing
179,22.125,0.0,-22.125,0.0,thing
180,22.125,0.0,-22.125,0.0,thing
181,36.0,0.0,-36.0,0.0,thing
182,36.0,0.0,-36.0,0.0,thing
183,36.0,0.0,-36.0,0.0,thing
184,30.0,0.0,-30.0,0.0,thing
185,38.0,0.0,-38.0,0.0,thing
186,38.0,0.0,-38.0,0.0,thing
187,22.125,0.0,-22.125,0.0,thing
188,41.0,0.0,-41.0,0.0,thing
189,41.0,0.0,-41.0,0.0,thing
190,41.0,0.0,-41.0,0.0,thing
191,41.0,0.0,-41.0,0.0,thing
192,38.0,0.0,-38.0,0.0,thing
193,30.0,0.0,-30.0,0.0,thing
194,41.0,0.0,-41.0,0.0,thing
195,22.125,0.0,-22.125,0.0,thing
196,36.0,0.0,-36.0,0.0,thing
197,36.0,0.0,-36.0,0.0,thing
198,22.125,0.0,-22.125,0.0,thing
199,22.125,0.0,-22.125,0.0,thing
200,22.125,0.0,-22.125,0.0,thing
201,30.0,0.0,-30.0,0.0,thing
202,36.0,0.0,-36.0,0.0,thing
203,30.0,0.0,-30.0,0.0,thing
204,41.0,0.0,-41.0,0.0,thing
205,36.0,0.0,-36.0,0.0,thing
206,22.125,0.0,-22.125,0.0,thing
207,30.0,0.0,-30.0,0.0,thing
208,38.0,0.0,-38.0,0.0,thing
209,36.0,0.0,-36.0,0.0,thing
210,22.125,0.0,-22.125,0.0,thing
211,22.125,0.0,-22.125,0.0,thing
212,41.0,0.0,-41.0,0.0,thing
213,30.0,0.0,-30.0,0.0,thing
214,41.0,0.0,-41.0,0.0,thing
215,38.0,0.0,-38.0,0.0,thing
216,38.0,0.0,-38.0,0.0,thing
217,41.0,0.0,-41.0,0.0,thing
218,36.0,0.0,-36.0,0.0,thing
219,36.0,0.0,-36.0,0.0,thing
220,41.0,0.0,-41.0,0.0,thing
221,41.0,0.0,-41.0,0.0,thing
222,36.0,0.0,-36.0,0.0,thing
223,30.0,0.0,-30.0,0.0,thing
224,41.0,0.0,-41.0,0.0,thing
225,22.125,0.0,-22.125,0.0,thing
226,30.0,0.0,-30.0,0.0,thing
227,41.0,0.0,-41.0,0.0,thing
228,22.125,0.0,-22.125,0.0,thing
229,22.125,0.0,-22.125,0.0,thing
230,41.0,0.0,-41.0,0.0,thing
231,41.0,0.0,-41.0,0.0,thing
232,41.0,0.0,-41.0,0.0,thing
